model,gene,top_celltype
PMC9342864_autophagy_Glioma,DIRAS3,MES-like Malignant
PMC9342864_autophagy_Glioma,CFLAR,Mono/Macro
PMC9342864_autophagy_Glioma,BAX,Mono/Macro
PMC9342864_autophagy_Glioma,TP53,OPC-like Malignant
PMC9342864_autophagy_Glioma,GRID2,OPC-like Malignant
PMC9342864_autophagy_Glioma,BIRC5,Malignant
PMC9342864_autophagy_Glioma,MAPK9,MES-like Malignant
PMC9342864_autophagy_Glioma,PTK6,OPC-like Malignant
PMC9342864_autophagy_Glioma,MYC,MES-like Malignant
PMC9097333_autophagy_GBM,NDUFB9,MES-like Malignant
PMC9097333_autophagy_GBM,BAK1,MES-like Malignant
PMC9097333_autophagy_GBM,SUPT3H,CD8Tex
PMC9097333_autophagy_GBM,GAPDH,MES-like Malignant
PMC9097333_autophagy_GBM,CDKN1B,NPC-like Malignant
PMC9097333_autophagy_GBM,CHMP6,MES-like Malignant
PMC9097333_autophagy_GBM,EGFR,OPC-like Malignant
