model,gene,top_celltype
PMC12239816_hypoxia_Glioma,CEBPG,MES-like Malignant
PMC12239816_hypoxia_Glioma,RGS4,MES-like Malignant
PMC12239816_hypoxia_Glioma,STEAP3,MES-like Malignant
PMC12239816_hypoxia_Glioma,HAMP,Mono/Macro
PMC12239816_hypoxia_Glioma,RPL8,MES-like Malignant
PMC12239816_hypoxia_Glioma,TF,Oligodendrocyte
PMC12239816_hypoxia_Glioma,HMOX1,Mono/Macro
PMC12239816_hypoxia_Glioma,RRM2,Malignant
PMC12239816_hypoxia_Glioma,VEGFA,MES-like Malignant
PMC12239816_hypoxia_Glioma,MAP3K5,AC-like Malignant
PMC12239816_hypoxia_Glioma,SESN2,MES-like Malignant
PMC12239816_hypoxia_Glioma,XBP1,Mono/Macro
PMC12239816_hypoxia_Glioma,NCF2,Mono/Macro
PMC12239816_hypoxia_Glioma,SLC1A4,AC-like Malignant
PMC9086515_ferroptosis_Glioma,DPP4,MES-like Malignant
PMC9086515_ferroptosis_Glioma,CAPG,Mono/Macro
PMC9086515_ferroptosis_Glioma,HSPB1,MES-like Malignant
PMC9086515_ferroptosis_Glioma,AURKA,MES-like Malignant
PMC9086515_ferroptosis_Glioma,SESN2,MES-like Malignant
PMC9086515_ferroptosis_Glioma,PGD,MES-like Malignant
PMC9086515_ferroptosis_Glioma,ARNTL,MES-like Malignant
PMC9086515_ferroptosis_Glioma,LAMP2,Oligodendrocyte
PMC9086515_ferroptosis_Glioma,EIF2AK4,MES-like Malignant
